group_name,group_id,n_galaxies
3.0_high_mass_green_valley_intermediate_proxy_main_sequence,1,15
0.0_low_mass_green_valley_late_type_proxy_starburst,2,316
nan_low_mass_green_valley_intermediate_proxy_main_sequence,3,221
0.0_low_mass_green_valley_late_type_proxy_main_sequence,4,471
0.0_intermediate_mass_red_sequence_intermediate_proxy_below_ms,5,5
nan_low_mass_green_valley_intermediate_proxy_below_ms,6,250
nan_low_mass_green_valley_intermediate_proxy_starburst,7,172
0.0_low_mass_green_valley_intermediate_proxy_below_ms,8,464
0.0_low_mass_green_valley_intermediate_proxy_starburst,9,43
0.0_intermediate_mass_green_valley_late_type_proxy_main_sequence,10,210
0.0_low_mass_blue_cloud_intermediate_proxy_below_ms,11,3
0.0_intermediate_mass_green_valley_intermediate_proxy_starburst,12,67
3.0_intermediate_mass_red_sequence_intermediate_proxy_below_ms,13,19
0.0_low_mass_blue_cloud_late_type_proxy_main_sequence,14,3
0.0_intermediate_mass_green_valley_late_type_proxy_starburst,15,160
1.0_intermediate_mass_green_valley_intermediate_proxy_starburst,16,4
0.0_intermediate_mass_green_valley_intermediate_proxy_below_ms,17,146
0.0_low_mass_green_valley_intermediate_proxy_main_sequence,18,152
0.0_high_mass_green_valley_intermediate_proxy_starburst,19,5
0.0_intermediate_mass_green_valley_intermediate_proxy_main_sequence,20,189
3.0_intermediate_mass_green_valley_intermediate_proxy_main_sequence,21,116
nan_intermediate_mass_green_valley_intermediate_proxy_starburst,22,98
3.0_intermediate_mass_green_valley_intermediate_proxy_below_ms,23,46
0.0_intermediate_mass_red_sequence_intermediate_proxy_main_sequence,24,18
nan_intermediate_mass_green_valley_intermediate_proxy_below_ms,25,119
nan_low_mass_unknown_unknown_starburst,26,264
nan_intermediate_mass_unknown_intermediate_proxy_starburst,27,150
nan_intermediate_mass_unknown_unknown_below_ms,28,643
nan_low_mass_red_sequence_intermediate_proxy_main_sequence,29,55
nan_intermediate_mass_unknown_unknown_starburst,30,383
nan_intermediate_mass_green_valley_intermediate_proxy_main_sequence,31,214
nan_low_mass_unknown_unknown_main_sequence,32,360
2.0_low_mass_red_sequence_intermediate_proxy_below_ms,33,62
0.0_low_mass_unknown_late_type_proxy_starburst,34,90
nan_high_mass_green_valley_intermediate_proxy_main_sequence,35,21
nan_intermediate_mass_unknown_unknown_main_sequence,36,781
nan_high_mass_red_sequence_intermediate_proxy_below_ms,37,96
nan_low_mass_unknown_unknown_below_ms,38,394
3.0_intermediate_mass_unknown_intermediate_proxy_main_sequence,39,152
0.0_low_mass_unknown_late_type_proxy_main_sequence,40,137
nan_intermediate_mass_unknown_intermediate_proxy_main_sequence,41,241
4.0_intermediate_mass_unknown_early_type_proxy_below_ms,42,49
0.0_intermediate_mass_unknown_intermediate_proxy_main_sequence,43,89
1.0_low_mass_green_valley_intermediate_proxy_main_sequence,44,14
nan_intermediate_mass_unknown_intermediate_proxy_below_ms,45,231
0.0_low_mass_unknown_intermediate_proxy_below_ms,46,132
nan_high_mass_unknown_intermediate_proxy_below_ms,47,176
3.0_intermediate_mass_red_sequence_intermediate_proxy_main_sequence,48,29
0.0_intermediate_mass_unknown_intermediate_proxy_starburst,49,43
nan_low_mass_unknown_intermediate_proxy_main_sequence,50,131
nan_low_mass_blue_cloud_intermediate_proxy_main_sequence,51,12
0.0_low_mass_blue_cloud_late_type_proxy_starburst,52,8
3.0_intermediate_mass_unknown_intermediate_proxy_starburst,53,67
nan_low_mass_unknown_intermediate_proxy_below_ms,54,137
nan_high_mass_unknown_unknown_below_ms,55,312
nan_high_mass_unknown_unknown_main_sequence,56,62
nan_low_mass_unknown_intermediate_proxy_starburst,57,122
0.0_intermediate_mass_unknown_late_type_proxy_main_sequence,58,57
nan_low_mass_red_sequence_intermediate_proxy_below_ms,59,79
0.0_intermediate_mass_unknown_intermediate_proxy_below_ms,60,56
1.0_low_mass_red_sequence_intermediate_proxy_below_ms,61,14
3.0_low_mass_green_valley_intermediate_proxy_main_sequence,62,30
2.0_low_mass_unknown_intermediate_proxy_below_ms,63,32
2.0_intermediate_mass_unknown_intermediate_proxy_main_sequence,64,25
1.0_low_mass_unknown_intermediate_proxy_starburst,65,9
2.0_intermediate_mass_unknown_intermediate_proxy_below_ms,66,57
nan_high_mass_green_valley_intermediate_proxy_below_ms,67,33
3.0_low_mass_red_sequence_intermediate_proxy_main_sequence,68,29
nan_intermediate_mass_red_sequence_intermediate_proxy_below_ms,69,92
0.0_low_mass_unknown_intermediate_proxy_main_sequence,70,62
3.0_low_mass_green_valley_intermediate_proxy_starburst,71,7
1.0_low_mass_unknown_intermediate_proxy_main_sequence,72,30
nan_high_mass_unknown_unknown_starburst,73,24
nan_high_mass_red_sequence_intermediate_proxy_main_sequence,74,12
1.0_low_mass_red_sequence_intermediate_proxy_main_sequence,75,39
3.0_intermediate_mass_green_valley_intermediate_proxy_starburst,76,25
2.0_high_mass_red_sequence_intermediate_proxy_below_ms,77,21
1.0_intermediate_mass_unknown_intermediate_proxy_main_sequence,78,13
2.0_intermediate_mass_red_sequence_intermediate_proxy_main_sequence,79,2
nan_high_mass_unknown_intermediate_proxy_starburst,80,17
0.0_high_mass_green_valley_intermediate_proxy_below_ms,81,3
4.0_intermediate_mass_green_valley_early_type_proxy_below_ms,82,44
1.0_low_mass_green_valley_intermediate_proxy_below_ms,83,19
3.0_intermediate_mass_unknown_intermediate_proxy_below_ms,84,47
0.0_low_mass_unknown_intermediate_proxy_starburst,85,38
3.0_low_mass_unknown_intermediate_proxy_starburst,86,20
1.0_low_mass_unknown_intermediate_proxy_below_ms,87,17
3.0_low_mass_green_valley_intermediate_proxy_below_ms,88,5
3.0_high_mass_green_valley_intermediate_proxy_starburst,89,5
3.0_high_mass_red_sequence_intermediate_proxy_main_sequence,90,4
3.0_low_mass_unknown_intermediate_proxy_below_ms,91,3
1.0_intermediate_mass_green_valley_intermediate_proxy_below_ms,92,17
nan_intermediate_mass_blue_cloud_intermediate_proxy_main_sequence,93,7
4.0_intermediate_mass_unknown_intermediate_proxy_main_sequence,94,4
4.0_intermediate_mass_unknown_intermediate_proxy_starburst,95,9
4.0_high_mass_unknown_early_type_proxy_below_ms,96,10
4.0_high_mass_red_sequence_early_type_proxy_below_ms,97,26
nan_intermediate_mass_blue_cloud_intermediate_proxy_below_ms,98,6
3.0_high_mass_red_sequence_intermediate_proxy_below_ms,99,5
3.0_high_mass_unknown_intermediate_proxy_main_sequence,100,20
2.0_low_mass_unknown_intermediate_proxy_main_sequence,101,12
2.0_low_mass_green_valley_intermediate_proxy_main_sequence,102,9
0.0_intermediate_mass_red_sequence_intermediate_proxy_starburst,103,6
4.0_low_mass_unknown_intermediate_proxy_starburst,104,2
0.0_low_mass_red_sequence_late_type_proxy_starburst,105,31
0.0_intermediate_mass_unknown_late_type_proxy_starburst,106,46
3.0_high_mass_unknown_intermediate_proxy_below_ms,107,4
nan_high_mass_unknown_intermediate_proxy_main_sequence,108,28
nan_low_mass_blue_cloud_intermediate_proxy_starburst,109,12
2.0_high_mass_unknown_intermediate_proxy_below_ms,110,13
nan_intermediate_mass_red_sequence_intermediate_proxy_starburst,111,23
0.0_high_mass_green_valley_late_type_proxy_main_sequence,112,3
nan_intermediate_mass_red_sequence_intermediate_proxy_main_sequence,113,40
2.0_low_mass_green_valley_intermediate_proxy_below_ms,114,15
nan_high_mass_green_valley_intermediate_proxy_starburst,115,8
4.0_intermediate_mass_unknown_intermediate_proxy_below_ms,116,9
3.0_low_mass_unknown_intermediate_proxy_main_sequence,117,36
2.0_intermediate_mass_green_valley_intermediate_proxy_below_ms,118,25
4.0_intermediate_mass_green_valley_intermediate_proxy_below_ms,119,9
4.0_intermediate_mass_red_sequence_early_type_proxy_below_ms,120,51
nan_low_mass_red_sequence_intermediate_proxy_starburst,121,18
1.0_intermediate_mass_red_sequence_intermediate_proxy_below_ms,122,5
2.0_low_mass_unknown_intermediate_proxy_starburst,123,17
3.0_high_mass_green_valley_intermediate_proxy_below_ms,124,9
3.0_low_mass_blue_cloud_intermediate_proxy_below_ms,125,1
nan_high_mass_red_sequence_intermediate_proxy_starburst,126,1
4.0_high_mass_green_valley_early_type_proxy_below_ms,127,4
0.0_high_mass_unknown_intermediate_proxy_below_ms,128,5
2.0_high_mass_green_valley_intermediate_proxy_below_ms,129,5
2.0_intermediate_mass_red_sequence_intermediate_proxy_below_ms,130,26
nan_low_mass_blue_cloud_intermediate_proxy_below_ms,131,9
4.0_intermediate_mass_green_valley_intermediate_proxy_starburst,132,22
1.0_low_mass_green_valley_intermediate_proxy_starburst,133,5
4.0_low_mass_unknown_intermediate_proxy_below_ms,134,2
1.0_intermediate_mass_unknown_intermediate_proxy_below_ms,135,16
3.0_high_mass_red_sequence_intermediate_proxy_starburst,136,1
4.0_intermediate_mass_red_sequence_intermediate_proxy_main_sequence,137,5
1.0_intermediate_mass_green_valley_intermediate_proxy_main_sequence,138,10
2.0_intermediate_mass_unknown_intermediate_proxy_starburst,139,11
0.0_high_mass_unknown_intermediate_proxy_starburst,140,2
4.0_high_mass_unknown_intermediate_proxy_main_sequence,141,1
1.0_high_mass_green_valley_intermediate_proxy_below_ms,142,2
0.0_low_mass_red_sequence_late_type_proxy_main_sequence,143,5
nan_high_mass_blue_cloud_intermediate_proxy_main_sequence,144,1
4.0_intermediate_mass_green_valley_intermediate_proxy_main_sequence,145,5
0.0_intermediate_mass_unknown_late_type_proxy_below_ms,146,2
3.0_intermediate_mass_red_sequence_intermediate_proxy_starburst,147,5
0.0_high_mass_unknown_late_type_proxy_main_sequence,148,2
2.0_low_mass_red_sequence_intermediate_proxy_main_sequence,149,8
4.0_intermediate_mass_red_sequence_intermediate_proxy_starburst,150,5
1.0_intermediate_mass_red_sequence_intermediate_proxy_main_sequence,151,2
nan_high_mass_blue_cloud_intermediate_proxy_below_ms,152,3
2.0_intermediate_mass_green_valley_intermediate_proxy_main_sequence,153,5
3.0_low_mass_red_sequence_intermediate_proxy_below_ms,154,1
0.0_low_mass_red_sequence_intermediate_proxy_below_ms,155,7
4.0_high_mass_red_sequence_intermediate_proxy_below_ms,156,1
4.0_low_mass_green_valley_early_type_proxy_below_ms,157,4
2.0_low_mass_blue_cloud_intermediate_proxy_below_ms,158,4
3.0_low_mass_red_sequence_intermediate_proxy_starburst,159,1
0.0_high_mass_green_valley_intermediate_proxy_main_sequence,160,6
0.0_low_mass_red_sequence_intermediate_proxy_main_sequence,161,5
nan_high_mass_blue_cloud_intermediate_proxy_starburst,162,1
0.0_high_mass_unknown_intermediate_proxy_main_sequence,163,1
4.0_intermediate_mass_red_sequence_intermediate_proxy_below_ms,164,3
1.0_low_mass_blue_cloud_intermediate_proxy_main_sequence,165,3
1.0_intermediate_mass_unknown_intermediate_proxy_starburst,166,5
4.0_high_mass_unknown_intermediate_proxy_below_ms,167,2
0.0_intermediate_mass_blue_cloud_intermediate_proxy_below_ms,168,1
2.0_intermediate_mass_red_sequence_intermediate_proxy_starburst,169,1
1.0_low_mass_red_sequence_intermediate_proxy_starburst,170,3
4.0_low_mass_unknown_early_type_proxy_below_ms,171,1
3.0_high_mass_blue_cloud_intermediate_proxy_main_sequence,172,1
0.0_low_mass_red_sequence_intermediate_proxy_starburst,173,2
0.0_intermediate_mass_red_sequence_late_type_proxy_main_sequence,174,1
2.0_intermediate_mass_blue_cloud_intermediate_proxy_below_ms,175,1
3.0_low_mass_blue_cloud_intermediate_proxy_main_sequence,176,1
0.0_high_mass_red_sequence_intermediate_proxy_starburst,177,2
1.0_intermediate_mass_red_sequence_intermediate_proxy_starburst,178,2
nan_intermediate_mass_blue_cloud_intermediate_proxy_starburst,179,1
2.0_high_mass_green_valley_intermediate_proxy_main_sequence,180,1
0.0_low_mass_blue_cloud_intermediate_proxy_main_sequence,181,1
0.0_high_mass_red_sequence_intermediate_proxy_below_ms,182,1
1.0_high_mass_red_sequence_intermediate_proxy_below_ms,183,2
0.0_intermediate_mass_green_valley_late_type_proxy_below_ms,184,1
1.0_high_mass_green_valley_intermediate_proxy_main_sequence,185,1
